,stop_id,stop_name,day,total_usage,num_routes,earliest,latest,num_arrivals,arrival_diff,stop_type,lat,long
146,1489,SE Division & 76th Ave,0,25.0,1,0,1380,95,14.526315789473683,Bus Station,45.5040603,-122.529978
147,1489,SE Division & 76th Ave,1,14.5,1,0,1380,88,15.681818181818182,Bus Station,45.5040901,-122.52368775
148,1497,SE Division & 82nd Ave,0,343.0,1,0,1380,95,14.526315789473683,Bus Station,45.5040901,-122.52368775
149,1497,SE Division & 82nd Ave,1,221.5,1,0,1380,88,15.681818181818182,Bus Station,45.5042261,-122.5106255
150,8433,SE Division & 87th Ave,0,43.0,1,0,1380,95,14.526315789473683,Bus Station,45.5042261,-122.5106255
151,8433,SE Division & 87th Ave,1,27.0,1,0,1380,88,15.681818181818182,Bus Station,45.5044143,-122.501723
152,1359,SE Division & 101st Ave,0,67.0,1,0,1380,95,14.526315789473683,Bus Station,45.5044143,-122.501723
153,1359,SE Division & 101st Ave,1,39.5,1,0,1380,88,15.681818181818182,Bus Station,45.5045753,-122.4966639
154,14227,SE Division & 113th Ave,0,74.0,1,0,1380,95,14.526315789473683,Bus Station,45.5045753,-122.4966639
155,14227,SE Division & 113th Ave,1,51.0,1,0,1380,88,15.681818181818182,Bus Station,45.5045835,-122.489638
156,1370,SE Division & 116th Ave,0,38.0,1,0,1380,95,14.526315789473683,Bus Station,45.5045835,-122.489638
157,1370,SE Division & 116th Ave,1,29.5,1,0,1380,88,15.681818181818182,Bus Station,45.5045917,-122.484689
158,1379,SE Division & 122nd Ave,0,259.0,1,0,1380,95,14.526315789473683,Bus Station,45.5045917,-122.484689
159,1379,SE Division & 122nd Ave,1,180.0,1,0,1380,88,15.681818181818182,Bus Station,45.5045917,-122.484689
160,1386,SE Division & 130th Ave,0,68.0,1,0,1380,95,14.526315789473683,Bus Station,45.5045917,-122.484689
161,1386,SE Division & 130th Ave,1,44.5,1,0,1380,88,15.681818181818182,Bus Station,45.5045835,-122.489638
162,1389,SE Division & 136th Ave,0,48.0,1,0,1380,95,14.526315789473683,Bus Station,45.5045835,-122.489638
163,1389,SE Division & 136th Ave,1,40.5,1,0,1380,88,15.681818181818182,Bus Station,45.5045753,-122.4966639
164,1400,SE Division & 148th Ave,0,159.0,1,0,1380,95,14.526315789473683,Bus Station,45.5045753,-122.4966639
165,1400,SE Division & 148th Ave,1,123.0,1,0,1380,88,15.681818181818182,Bus Station,45.5044143,-122.501723
166,1409,SE Division & 157th Ave,0,41.0,1,0,1380,95,14.526315789473683,Bus Station,45.5044143,-122.501723
167,1409,SE Division & 157th Ave,1,34.0,1,0,1380,88,15.681818181818182,Bus Station,45.5042261,-122.5106255
